Date,Close,Open,High,Low,Volume,Change %
2018-10-16,10584.75,10550.15,10604.9,10525.3,273440000.0,0.69%
2018-10-17,10453.05,10688.7,10710.15,10436.45,293590000.0,-1.24%
2018-10-19,10303.55,10339.7,10380.1,10249.6,368550000.0,-1.43%
2018-10-22,10245.25,10405.85,10408.55,10224.0,306470000.0,-0.57%
2018-10-23,10146.8,10152.6,10222.1,10102.35,312040000.0,-0.96%
2018-10-24,10224.75,10278.15,10290.65,10126.7,362270000.0,0.77%
2018-10-25,10124.9,10135.05,10166.6,10079.3,522419999.99999994,-0.98%
2018-10-26,10030.0,10122.35,10128.85,10004.55,375560000.0,-0.94%
2018-10-29,10250.85,10078.1,10275.3,10020.35,375750000.0,2.20%
2018-10-30,10198.4,10239.4,10285.1,10175.35,298750000.0,-0.51%
2018-10-31,10386.6,10209.55,10396.0,10105.1,386620000.0,1.85%
2018-11-01,10380.45,10441.7,10441.9,10341.9,359340000.0,-0.06%
2018-11-02,10553.0,10462.3,10606.95,10457.7,434180000.0,1.66%
2018-11-05,10524.0,10558.75,10558.8,10477.0,311180000.0,-0.27%
2018-11-06,10530.0,10552.0,10600.25,10491.45,309880000.0,0.06%
2018-11-07,10598.85,10614.45,10616.45,10591.8,2830000.0,0.65%
2018-11-09,10585.2,10614.7,10619.55,10544.85,305820000.0,-0.13%
2018-11-12,10482.2,10607.8,10645.5,10464.05,267709999.99999997,-0.97%
2018-11-13,10582.5,10451.9,10596.25,10440.55,262540000.00000003,0.96%
2018-11-14,10576.3,10634.9,10651.6,10532.7,396370000.0,-0.06%
2018-11-15,10616.7,10580.6,10646.5,10557.5,306010000.0,0.38%
2018-11-16,10682.2,10644.0,10695.15,10631.15,353380000.0,0.62%
2018-11-19,10763.4,10731.25,10774.7,10688.8,280520000.0,0.76%
2018-11-20,10656.2,10740.1,10740.85,10640.85,304320000.0,-1.00%
2018-11-21,10600.05,10670.95,10671.3,10562.35,310190000.0,-0.53%
2018-11-22,10526.75,10612.65,10646.25,10512.0,246930000.0,-0.69%
2018-11-26,10628.6,10568.3,10637.8,10489.75,332860000.0,0.97%
2018-11-27,10685.6,10621.45,10695.15,10596.35,382830000.0,0.54%
2018-11-28,10728.85,10708.75,10757.8,10699.85,437630000.0,0.40%
2018-11-29,10858.7,10808.7,10883.05,10782.35,712650000.0,1.21%
2018-11-30,10876.75,10892.1,10922.45,10835.1,467860000.0,0.17%
2018-12-03,10883.75,10930.7,10941.2,10845.35,422360000.0,0.06%
2018-12-04,10869.5,10877.1,10890.95,10833.35,332140000.0,-0.13%
2018-12-05,10782.9,10820.45,10821.05,10747.95,322020000.0,-0.80%
2018-12-06,10601.15,10718.15,10722.65,10588.25,328280000.0,-1.69%
2018-12-07,10693.7,10644.8,10704.55,10599.35,335850000.0,0.87%
2018-12-10,10488.45,10508.7,10558.85,10474.95,393100000.0,-1.92%
2018-12-11,10549.15,10350.05,10567.15,10333.85,438700000.0,0.58%
2018-12-12,10737.6,10591.0,10752.2,10560.8,371700000.0,1.79%
2018-12-13,10791.55,10810.75,10838.6,10749.5,387810000.0,0.50%
2018-12-14,10805.45,10784.5,10815.75,10752.1,350580000.0,0.13%
2018-12-17,10888.35,10853.2,10900.35,10844.85,306150000.0,0.77%
2018-12-18,10908.7,10850.9,10915.4,10819.1,294940000.0,0.19%
2018-12-19,10967.3,10930.55,10985.15,10928.0,321800000.0,0.54%
2018-12-20,10951.7,10885.2,10962.55,10880.05,328800000.0,-0.14%
2018-12-21,10754.0,10944.25,10963.65,10738.65,389240000.0,-1.81%
2018-12-24,10663.5,10780.9,10782.3,10649.25,230290000.0,-0.84%
2018-12-26,10729.85,10635.45,10747.5,10534.55,271940000.0,0.62%
2018-12-27,10779.8,10817.9,10834.2,10764.45,470160000.0,0.47%
2018-12-28,10859.9,10820.95,10893.6,10817.15,253090000.0,0.74%
2018-12-31,10862.55,10913.2,10923.55,10853.2,186500000.0,0.02%
2019-01-01,10910.1,10881.7,10923.6,10807.1,159400000.0,0.44%
2019-01-02,10792.5,10868.85,10895.35,10735.05,309670000.0,-1.08%
2019-01-03,10672.25,10796.8,10814.05,10661.25,286240000.0,-1.11%
2019-01-04,10727.35,10699.7,10741.05,10628.65,296600000.0,0.52%
2019-01-07,10771.8,10804.85,10835.95,10750.15,269370000.0,0.41%
2019-01-08,10802.15,10786.25,10818.45,10733.25,277700000.0,0.28%
2019-01-09,10855.15,10862.4,10870.4,10749.4,333010000.0,0.49%
2019-01-10,10821.6,10859.35,10859.35,10801.8,254360000.0,-0.31%
2019-01-11,10794.95,10834.75,10850.15,10739.4,260790000.00000003,-0.25%
2019-01-14,10737.6,10807.0,10808.0,10692.35,298770000.0,-0.53%
2019-01-15,10886.8,10777.55,10896.95,10777.55,310740000.0,1.39%
2019-01-16,10890.3,10899.65,10928.15,10876.9,276540000.0,0.03%
2019-01-17,10905.2,10920.85,10930.65,10844.65,271680000.0,0.14%
2019-01-18,10906.95,10914.85,10928.2,10852.2,323810000.0,0.02%
2019-01-21,10961.85,10919.35,10987.45,10885.75,288830000.0,0.50%
2019-01-22,10922.75,10949.8,10949.8,10864.15,300770000.0,-0.36%
2019-01-23,10831.5,10931.05,10944.8,10811.95,298880000.0,-0.84%
2019-01-24,10849.8,10844.05,10866.6,10798.65,361080000.0,0.17%
2019-01-25,10780.55,10859.75,10931.7,10756.45,463440000.0,-0.64%
2019-01-28,10661.55,10792.45,10804.45,10630.95,419680000.0,-1.10%
2019-01-29,10652.2,10653.7,10690.35,10583.65,356910000.0,-0.09%
2019-01-30,10651.8,10702.25,10710.2,10612.85,410110000.0,0.00%
